Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
France,FRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.7610919150066,78.5999114705779,78.6467804026368,78.6714432536599,78.6890784549356,78.7119131765249,78.7364603392338,78.7591921123356,78.7804323126547
France,FRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.0060377071902,79.2698113207547,80.5024597243607,82.0431867788484,83.3397440866883,84.70639801,86.09548575,85.33331734,86.83635789
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.6414634146341,80.990243902439,80.9926829268293,80.8926829268293,81.2926829268293,81.0414634146342,80.790243902439,80.6080487804878,81.0414634146342
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,41929.7549110722,42948.9381932694,45553.9341495339,48916.1686612154,47656.199739747,47394.8734504469,52349.2459994422,50506.5179638543,54776.7668235491
Germany,DEU,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4605.59033203,4723.32421875,5039.35302734,5473.55712891,5447.31787109,5906.80615234,6653.58349609,6226.14208984,6394.62255859
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.137,3.071
Germany,DEU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.6974371632814,80.8347870684725,80.9842544038853,81.1423036204018,81.3053991689039,81.4700055002738,81.6325870653934,81.7867852780995,81.9034366692129
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.5897993525767,84.1652066441212,84.3941537010844,87.037112092841,88.1345169091916,89.81294133,91.43060973,91.62984383,92.4763763
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.0365853658537,81.3878048780488,81.2878048780488,81.7878048780488,81.6390243902439,81.2878048780488,80.0829268292683,80.7878048780488,81.7365853658537
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,17980.7298238137,17919.2426377048,18631.9930129293,19873.4015238771,19335.3602002969,17886.733165236,20652.89659591,20884.6773436263,23343.7103964562
Greece,GRC,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1481.41967773,1513.25939941,1509.78442383,1603.07788086,1569.02844238,1674.78417969,1846.37304688,1768.11071777,1962.59594727
Greece,GRC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,24.981,23.514,21.413,19.179,17.045,15.899,14.656,12.426,11.023
Greece,GRC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.5194426317545,77.7122988766348,77.8895342613411,78.0490656849874,78.1888100466875,78.3066842455552,78.3884898647442,78.5502190980809,78.7746303842088
Greece,GRC,Individuals using the Internet (% of population),IT.NET.USER.ZS,66.8349594911035,69.0879154723892,69.8929706543154,72.2383733920483,75.6712066931757,78.11584474,78.49426371,83.17066333,85.0102229
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.4536585365854,81.6536585365854,82.1560975609756,82.2048780487805,82.7024390243903,82.4560975609756,82.2536585365854,82.509756097561,82.8073170731707
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,64250.1385181257,64129.5571542383,72161.4047531385,80804.1123164826,81827.6688873996,86514.0706108754,103783.446284479,105190.685952731,106818.917130804
Ireland,IRL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4575.84912109,4746.93701172,5023.51123047,5494.98632813,5454.31152344,6073.10546875,6754.07519531,6407.92333984,6877.9375
Ireland,IRL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.908,8.374,6.713,5.741,4.95,5.623,6.357,4.465,4.243
Ireland,IRL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.6392123492764,62.7229399123734,62.9035196521232,63.0844503476779,63.2737009154127,63.4713366724915,63.6774229356985,63.8920250215059,64.1152082461268
Ireland,IRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.4947916666667,83.5,84.1140070623844,87.0001401148942,87.0000552425146,91.99989097,93.50610352,95.03690338,96.8660965
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.5439024390244,83.2439024390244,82.9463414634147,83.3463414634146,83.4975609756098,82.1951219512195,82.6463414634146,82.7,83.3512195121951
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,30639.8829751432,31391.5692898108,32844.115660604,35062.3364176949,33812.788724868,32091.4866621366,36852.5425414951,35653.9042103495,39279.699782164
Italy,ITA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2707.43310547,2735.27783203,2851.28686523,3031.46459961,2908.83154297,3058.90014648,3414.57299805,3154.57104492,3283.47216797
Italy,ITA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.896,11.688,11.211,10.538,9.884,9.192,9.497,8.069,7.627
Italy,ITA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.6100006103516,69.5969232525286,69.5180784259382,69.4800033569336,69.5050010681153,69.5187492370606,69.4812507629394,69.4839779766539,69.5381540123301
Italy,ITA,Individuals using the Internet (% of population),IT.NET.USER.ZS,58.1417349568747,61.3242527666303,63.0773469984291,74.3871829234822,67.8507102874836,70.48342785,74.8623274,85.06074504,87.0278292
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.7939024390244,83.9848780487805,84.099756097561,84.2109756097561,84.3563414634146,84.56,84.4456097560976,83.9963414634146,84.0412195121951
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,35664.6446110613,40214.9688631562,39679.8635262948,40645.478086519,41424.8655601543,41098.9739004553,41580.739040705,35548.2645222433,35215.003535366
Japan,JPN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,3754.18115234,4194.22802734,4135.24316406,4265.77929688,4431.29980469,4581.60986328,4843.94433594,4201.79248047,3638.19287109
Japan,JPN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.385,3.132,2.822,2.467,2.351,2.809,2.808,2.614,2.6
Japan,JPN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.3532644103625,91.4541254852142,91.5498419685883,91.6377318609728,91.7164207898107,91.7809926267889,91.8741049279527,91.9776532428406,92.0826903891473
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.0580283929962,93.1827212821617,91.7265472366635,88.7463508901772,92.7303978145525,90.21945812,82.91407928,84.92343147,85.00990295
Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.509756097561,81.5609756097561,81.7609756097561,81.8121951219512,82.1121951219512,81.3585365853659,81.309756097561,81.6146341463415,81.8634146341464
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,45793.8135434697,46808.5291492503,49513.6817346384,53955.0770024266,53554.9007491475,53467.9277413737,60141.9880911492,59123.318556487,63515.6030780019
Netherlands,NLD,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4676.56201172,4644.02099609,4934.57519531,5330.66015625,5340.61279297,5865.90527344,6718.88964844,5967.90429688,6371.85595703
Netherlands,NLD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.872,6.007,4.837,3.832,3.379,3.82,4.209,3.526,3.535
Netherlands,NLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,90.2787737214621,90.5803239452777,91.1219700676602,92.6062472401044,93.8898028856479,94.2532277765935,94.6294783220315,94.9856177734136,95.3221682092129
Netherlands,NLD,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.7241379310345,90.4109589041096,93.1972789115646,91.8918918918919,93.2885906040269,91.33333333,92.05298013,92.51968504,97.00680272
New Zealand,NZL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6124390243903,81.6585365853659,81.8585365853659,81.7073170731707,82.0560975609756,82.2560975609756,82.2073170731707,81.9585365853658,81.7585365853659
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,38648.7302562109,40088.3205470499,42912.1537002148,43204.1305124872,42872.2681243427,42054.6743136586,49902.154346032,49141.6316294227,49302.341876493
New Zealand,NZL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,3433.59643555,3516.93481445,3702.09985352,3706.80273438,3679.59692383,3887.71264648,4749.04199219,5138.33789063,4997.24316406
New Zealand,NZL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.415,5.147,4.736,4.335,4.109,4.595,3.776,3.299,3.734
New Zealand,NZL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.1518763760531,84.691365594,84.1701025874108,83.8017846685577,83.804965871667,83.8138977095908,83.8299382585905,83.8547305017812,83.8898991461229
New Zealand,NZL,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.19999695,86.5,87.69999695,89,89.86370087,90.92099762,91.99060059,93.07289886,93.32610321
Norway,NOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.3048780487805,82.4073170731707,82.609756097561,82.7585365853659,82.9585365853659,83.209756097561,83.1634146341463,82.509756097561,83.0121951219512
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,77220.9524311414,73222.4006864905,78771.2151264554,85579.0776455494,79329.3075190012,71057.5879471399,96442.5552173002,113122.130765691,90984.4087141111
Norway,NOR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,7566.56152344,7492.07666016,7815.78710938,8271.859375,8007.35546875,7824.57714844,9163.13867188,8692.57617188,8296.35546875
Norway,NOR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.296,4.68,4.164,3.801,3.684,4.424,4.359,3.231,3.574
Norway,NOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.2378240971353,81.6800003051758,81.9699745912375,82.2452112401723,82.4935894878281,82.7029885700532,82.8612877226956,82.9563661816034,83.0718560702166
Norway,NOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.810325691365,97.2982036675068,96.3576012951191,96.4916579887094,98.0000043853142,94.60755647,99.0000036,98.99997764,99.00000258
Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.1243902439025,81.1243902439025,81.4243902439025,81.3243902439024,81.6756097560976,81.3292682926829,81.3780487804878,81.6317073170732,82.3292682926829
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,19215.7813014347,19980.2808866516,21442.3842768879,23541.1401075289,23343.3628970034,22299.4044062173,24711.4510062111,24620.5197587181,27634.6183139773
Portugal,PRT,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1787.03759766,1870.31848145,1991.32263184,2206.71240234,2209.50219727,2328.35571289,2764.04296875,2600.56665039,2762.26293945
Portugal,PRT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.405,11.058,8.878,6.966,6.422,6.85,6.712,6.138,6.498
